Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
01-11-22,Sydney,18.2,24,0.2,4.6,9.5,WNW,69,WNW,WNW,35,31,45,30,992.9,992,2,2,19.2,23.1,No,No
02-11-22,Sydney,11.1,20.5,0.6,13,12.8,W,67,W,SW,31,22,44,29,1003.2,1005.9,1,1,14,19.7,No,No
03-11-22,Sydney,11.1,22,0,7.8,8.9,W,56,WSW,SE,31,20,50,42,1014.7,1016.6,1,7,15.9,20,No,No
04-11-22,Sydney,13.4,23.1,1,6,5.7,SSE,26,E,ENE,6,17,82,55,1026.9,1026.8,6,5,15.8,22.8,No,No
05-11-22,Sydney,13.4,23.6,0.2,4.4,11.8,ENE,37,WSW,ENE,4,24,76,60,1029.7,1026.9,3,2,17.7,22.2,No,No
06-11-22,Sydney,13.3,24,0,4,12.1,ENE,39,ESE,E,6,26,75,59,1026.6,1023.3,1,1,19,23.1,No,No
07-11-22,Sydney,15.4,24.2,0,9.8,12.3,NE,41,E,ENE,15,24,80,58,1023.4,1020.6,5,2,20.4,23.4,No,No
08-11-22,Sydney,16,24.2,1.2,8,11,ENE,35,ENE,ENE,15,24,67,59,1021.5,1020.2,4,2,21.1,24,No,No
09-11-22,Sydney,14.9,24.2,0.2,8,10.3,E,33,WNW,ENE,6,26,77,46,1023,1021.9,7,1,19.2,23.6,No,No
10-11-22,Sydney,14.9,24.4,0,7.8,9.3,ENE,43,WNW,ENE,7,24,76,55,1023.1,1019.1,7,1,17.7,24.1,No,No
11-11-22,Sydney,14.9,24.9,0,7.8,9.1,ENE,39,ENE,NE,7,17,60,56,1015.2,1011.4,4,7,20.1,24.4,No,No
12-11-22,Sydney,16,27.9,0,7.8,9.5,ESE,26,N,ESE,4,19,77,51,1012.1,1011.1,1,3,20.7,27.7,No,No
13-11-22,Sydney,18.9,25.6,0,6.4,1.7,NNW,46,SE,NNE,2,24,85,70,1010.2,1005,8,7,21.2,25.2,No,No
14-11-22,Sydney,18.1,27.9,37.6,4.2,10.8,W,67,WNW,W,11,33,76,34,1001.3,1000.5,1,2,20.6,27.6,No,No
15-11-22,Sydney,16.2,24.9,0.2,9.6,9.2,SW,33,WSW,E,19,20,54,62,1008.4,1005.6,2,7,20.4,22.6,No,No
16-11-22,Sydney,13,21.6,0.8,8,9.1,S,54,WSW,WSW,22,24,42,56,1010.1,1009.5,2,7,15.9,15.3,No,No
17-11-22,Sydney,10,20.3,3.4,5.2,12.6,SSE,46,W,SSE,17,24,62,45,1015.1,1013.7,1,1,15.4,19.1,No,No
18-11-22,Sydney,12.4,22.2,0,8,12.9,SSE,37,SW,SSE,17,24,52,47,1016.4,1014,1,1,17.1,21.2,No,No
19-11-22,Sydney,12.9,23.9,0,7.6,12.3,ENE,50,NNW,NE,13,30,69,64,1012.3,1005.9,3,3,19,22.4,No,No
20-11-22,Sydney,18,27.4,0.8,7.8,13.3,W,70,WNW,WNW,19,37,56,30,995.9,998.9,1,3,23.9,25.3,No,No
21-11-22,Sydney,17.1,24.5,0,12.2,12.7,W,83,WNW,WNW,24,43,35,31,1002.3,1002.7,1,2,21.8,22.3,No,No
22-11-22,Sydney,11.7,24,0,12,13,W,63,WSW,W,37,30,42,28,1012.8,1011.1,1,1,15.3,23.7,No,No
23-11-22,Sydney,13.7,28.3,0,8,12.4,W,54,W,WNW,28,19,48,31,1014.2,1012.5,1,2,18.8,27.2,No,No
24-11-22,Sydney,15.8,25.4,0,11.2,12,E,33,W,E,13,19,49,48,1018.4,1016.7,1,1,20.7,25.1,No,No
25-11-22,Sydney,16.6,24.1,0,7.8,12.7,E,31,NNE,E,7,22,77,67,1018.4,1015.3,3,2,20,23.5,No,No
26-11-22,Sydney,17,23.3,0.6,6.2,11.1,SSE,41,SSW,E,15,19,70,48,1015.9,1012.5,5,2,19.1,23,No,No
27-11-22,Sydney,17,26.8,0,8,3.7,WSW,54,NNE,E,6,11,74,68,1004.9,1001.1,7,4,19.7,24.8,No,No
28-11-22,Sydney,17.1,23.8,8.8,3.8,8.9,SSW,31,SSW,ESE,19,22,82,63,1006.8,1005.5,6,6,20.1,22.7,No,No
29-11-22,Sydney,15.9,25.4,0,4,12.5,SSE,46,SW,SE,20,30,46,52,1011.6,1013.1,1,1,20.4,23.6,No,No
30-11-22,Sydney,16,22.9,0,11.4,1.3,E,31,E,E,13,24,59,56,1019.4,1016.9,7,7,18.8,20.7,No,No
01-12-22,Sydney,17.9,22.5,0,3.8,0.4,ESE,30,ESE,ESE,15,20,64,55,1017,1015.1,7,7,19.9,21.7,No,No
02-12-22,Sydney,16.5,25.3,0,10.4,7.5,ESE,33,SSE,SE,19,19,60,50,1017.4,1016.6,7,6,20,24.7,No,No
03-12-22,Sydney,15.2,24.4,0,8,12.8,E,31,SSW,E,9,22,74,52,1019.3,1017.1,3,1,19.5,23.8,No,No
04-12-22,Sydney,15.4,26,0,6.8,12.7,ENE,43,W,ENE,2,26,74,45,1017.4,1014.1,5,1,19.9,24.9,No,No
05-12-22,Sydney,16.4,27.9,0,10.7,10.3,N,41,E,ENE,15,20,73,59,1009,1003.3,2,3,21.8,26.3,No,No
06-12-22,Sydney,17.4,24.2,6.6,9,11.9,ESE,44,S,SE,15,22,73,52,1007.5,1006.7,3,3,20.7,22.8,No,No
07-12-22,Sydney,15.9,25.4,0,8.2,5.1,NNW,39,N,ESE,7,9,72,67,1006.2,1002.8,4,7,21,24,No,No
08-12-22,Sydney,18.4,22.9,0,4.4,12.2,SW,46,WSW,SE,19,24,34,42,1006.1,1006.7,1,1,21,20.9,No,No
09-12-22,Sydney,14.9,22.1,0,11.2,8.2,ESE,41,S,SE,13,24,54,46,1014.3,1013.6,7,1,17.1,21,No,No
10-12-22,Sydney,15.2,24.4,0,12,9.9,SSE,37,SW,E,6,17,59,48,1019.1,1016.6,6,2,19,22.9,No,No
11-12-22,Sydney,14.8,28.6,0.2,5.6,12.4,NE,44,NNE,NE,9,19,70,56,1013.2,1007.9,1,1,20.2,25.7,No,No
12-12-22,Sydney,20.2,29.6,0,15,7.2,W,94,NNW,WNW,35,31,47,44,998.5,998.3,6,6,28.5,26,No,No
13-12-22,Sydney,14,25.7,22.6,9.2,12.7,NNE,43,WNW,ENE,13,30,40,40,1010.2,1006.3,0,1,19.2,24.8,No,No
14-12-22,Sydney,15,25.3,0,11.4,12.3,W,59,WSW,W,26,35,46,21,1008.1,1006,3,2,19.4,24.7,No,No
15-12-22,Sydney,13.4,24,0,8.8,12.7,SSE,57,WSW,SSE,20,28,42,38,1008.7,1008,2,3,17.8,23.2,No,No
16-12-22,Sydney,12.5,21.8,0.6,9.2,8.3,S,63,SW,SSE,17,37,51,46,1014.6,1014.4,7,2,15.4,20.4,No,No
17-12-22,Sydney,14.3,20.6,0.2,8,2.9,S,54,SSW,S,22,30,65,56,1020,1020.4,7,7,17.6,19.9,No,No
18-12-22,Sydney,13.4,20.8,35,5.4,4.9,SSE,56,SW,S,15,22,99,71,1022.7,1021.7,8,6,14.3,18.8,No,No
19-12-22,Sydney,14.2,21.4,5.8,6,6.8,SW,56,SSW,S,22,24,62,54,1024.2,1023.5,7,6,17.9,19.3,No,No
20-12-22,Sydney,13.6,23.4,0,7,9.1,SE,43,SSW,SE,19,20,65,46,1022.7,1020.5,7,1,17.5,21.6,No,No
21-12-22,Sydney,14.5,23.5,0,6.8,10.2,SE,33,SSW,ESE,9,20,66,50,1019.5,1016.7,4,6,18.4,22.3,No,No
22-12-22,Sydney,14.8,23.5,0,9.3,2.3,NE,33,NE,ENE,15,19,63,60,1016.3,1014.1,7,7,20.2,21.5,No,No
23-12-22,Sydney,16.6,28.9,0.8,2.4,12.2,ESE,30,W,E,9,20,83,68,1011.8,1009.1,4,3,20.5,25.2,No,No
24-12-22,Sydney,18.5,29.7,0,7,13.4,NE,39,NW,NE,7,11,75,59,1010.1,1008.2,1,2,22.4,28.7,No,No
25-12-22,Sydney,19.6,27.4,0,10.2,8.2,SSE,31,SSE,E,7,19,83,66,1016.2,1015.6,8,1,21.5,26.6,No,No
26-12-22,Sydney,19.3,28.4,0,7.8,10.7,NE,48,SE,ENE,4,24,96,72,1021.5,1019.9,4,1,21.1,27.4,No,No
27-12-22,Sydney,18.9,28.1,0,10,13.2,ENE,35,ESE,E,9,20,85,57,1023.6,1020.9,2,1,22.5,27.9,No,No
28-12-22,Sydney,19.6,27.8,0,9.8,13,NE,48,NE,ENE,11,26,75,58,1017.1,1012.3,1,1,22.3,27.4,No,No
29-12-22,Sydney,19.7,22.8,0,10.4,0,SSE,44,S,SSW,24,13,84,73,1016.2,1017.1,8,8,20.2,22.4,No,No
30-12-22,Sydney,18.8,24.9,5.4,2.2,0.3,SSW,31,NE,E,7,20,99,72,1018.9,1017.4,8,7,21.4,24.4,No,No
31-12-22,Sydney,18.1,25.8,1,4.6,3.6,SSW,31,SE,ENE,2,22,81,76,1016.9,1014.9,6,7,22.6,24.2,No,No
01-01-23,Sydney,20.1,27.4,0.2,5.4,10.6,E,41,ENE,ENE,19,26,73,73,1016.3,1014.3,6,5,23.8,24.8,No,No
02-01-23,Sydney,18.9,28.1,0,8.4,10.2,NE,44,N,E,9,30,70,54,1014.3,1010.2,3,3,22.8,27.8,No,No
03-01-23,Sydney,20.5,27.8,0,10.6,9.5,E,52,E,ENE,13,26,74,60,1006.9,1004.1,2,1,23.8,27.3,No,No
04-01-23,Sydney,20.9,25.8,1.6,9.4,2.1,S,52,E,E,17,28,79,87,1004.8,1002.7,7,8,24.2,22.3,No,No
05-01-23,Sydney,17.1,23.2,13,3.2,5.3,S,65,SSW,S,31,31,85,60,1009,1010,5,6,19,22.1,No,No
06-01-23,Sydney,15.1,20.6,2,6.4,0.3,SSE,63,SW,SSE,24,30,89,98,1011,1012.6,8,8,18.1,18.4,No,No
07-01-23,Sydney,16.6,22.8,55.8,6.2,0.6,S,48,S,S,11,28,96,59,1014.5,1014.1,8,6,18,22.1,No,No
08-01-23,Sydney,15.5,25.2,3.4,5,11.5,ESE,39,SW,SE,19,22,74,54,1014.6,1012.9,4,2,19.5,24.7,No,No
09-01-23,Sydney,15.6,27.3,0,6.6,13.3,ESE,28,W,ESE,13,19,76,57,1012.9,1011.5,1,1,20.1,26.6,No,No
10-01-23,Sydney,17,26.6,0,7.6,12.7,SSE,39,WNW,SE,13,24,80,55,1014.4,1014.4,1,2,21,26.1,No,No
11-01-23,Sydney,20.7,27,0,9.6,2.9,E,28,SSW,ENE,7,11,73,56,1015.6,1014,8,5,22,25.6,No,No
12-01-23,Sydney,20.8,27.1,0,6.2,6.1,E,35,N,ENE,4,22,74,60,1016.6,1015.3,7,3,22.8,26.8,No,No
13-01-23,Sydney,19.4,27.3,0,6.8,7.8,ENE,37,W,E,9,26,81,66,1019.3,1017.5,6,6,22.3,26.1,No,No
14-01-23,Sydney,20,26.9,2.6,7.6,7,ENE,46,N,ENE,11,33,93,60,1020.1,1017.2,7,5,20,26.2,No,No
15-01-23,Sydney,18.8,28.6,3.6,8.6,11.9,NE,43,N,ENE,11,28,71,58,1017.4,1014.5,0,1,22.9,28,No,No
16-01-23,Sydney,21.4,29.2,0,9.8,10.6,E,30,E,E,13,19,70,59,1022,1021.3,3,5,24.2,28.2,No,No
17-01-23,Sydney,20,28.6,0,8,11.4,NE,39,ESE,E,6,28,80,66,1020.7,1017.9,7,5,23.6,26.7,No,No
